OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
187307571,354,Lee Hwy & N Monroe St,31092,38.896456,-77.104562,YES,NO,,,NO,7,8,390929.4394,136517.0839,
187307572,355,21st St N & N Pierce St,31093,38.898984,-77.078317,YES,NO,,,NO,3,12,393206.3848,136795.4315,
187307573,356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,YES,NO,,,NO,10,4,391574.024,136396.5942,
187307574,357,19th & G St NW,31279,38.898412,-77.043182,YES,NO,,,NO,9,14,396254.1432,136729.9067,
187307575,358,2nd St & Seaton Pl NE,31522,38.914751,-77.00356,YES,NO,,,NO,6,13,399691.2557,138542.7889,
187307576,359,Wilson Blvd & N Illinois St,31902,38.876528,-77.12712,YES,NO,,,NO,9,6,388969.4952,134307.4068,
187307577,364,Army Navy Dr & S Nash St,31095,38.86215,-77.068121,YES,NO,,,NO,4,7,394087.7864,132705.8679,
187307578,365,31st & Water St NW,31293,38.902814,-77.061043,YES,NO,,,NO,7,11,394705.1035,137219.4484,
187307579,367,11th & S St NW,31280,38.913761,-77.027025,YES,NO,,,NO,16,7,397656.1993,138433.2316,
187307580,368,S Walter Reed Dr & 8th St S,31096,38.86612,-77.08787,YES,NO,,,NO,11,3,392374.1977,133148.0312,
187307581,369,2nd & G St NE,31639,38.89967,-77.003666,YES,NO,,,NO,10,12,399681.9955,136868.6752,
187307582,370,8th & O St NW,31281,38.90864,-77.02277,YES,NO,,,NO,13,6,398025.0815,137864.6578,
187307583,371,Georgia & Missouri Ave NW,31411,38.961339,-77.027855,YES,NO,,,NO,8,11,397585.8274,143714.8292,
187307584,373,Oklahoma Ave & D St NE,31712,38.894474,-76.974828,YES,NO,,,NO,15,4,402183.6857,136292.1726,
187307585,374,Maryland Ave & E St NE,31640,38.896134,-76.9929,YES,NO,,,NO,8,11,400615.9148,136476.1686,
187307586,375,New York Ave & Hecht Ave NE,31518,38.915604,-76.983683,YES,NO,,,NO,10,12,401415.09,138637.5995,
187307587,376,Yuma St & Tenley Circle NW,31316,38.946182,-77.08059,YES,NO,,,NO,4,15,393013.8386,142034.9791,
187307588,377,Connecticut Ave & Chevy Chase Lake Dr,32051,38.994113,-77.076986,YES,NO,,,NO,7,8,393330.7482,147355.5038,
187307589,378,Key West Ave & Siesta Key Way,32052,39.105295,-77.194774,YES,NO,,,NO,9,6,383153.1879,159713.1322,
187307590,379,Lee Hwy & N Woodstock St,31900,38.898301,-77.118009,YES,NO,,,NO,9,9,389763.2023,136723.3155,
187307591,380,Saint Asaph & Madison St,31097,38.812718,-77.044097,YES,NO,,,NO,9,6,396170.1757,127217.2968,
187307592,381,King St Metro North / Cameron St,31098,38.80704,-77.059817,YES,NO,,,NO,10,4,394804.4809,126587.7799,
187307593,382,Madison & N Henry St,31099,38.813485,-77.049468,YES,NO,,,NO,6,8,395703.7505,127302.6778,
187307594,383,Medical Center Metro,32053,38.999378,-77.097882,YES,NO,,,NO,3,15,391521.1673,147941.7054,
187307595,384,Washington Blvd & N Frederick St,31901,38.884829,-77.127671,YES,NO,,,NO,7,4,388922.9724,135228.947,
187307596,385,Wisconsin Ave & Ingomar St NW,31317,38.958267,-77.084636,YES,NO,,,NO,6,13,392664.3441,143376.841,
187307597,386,16th & Irving St NW,31122,38.928893,-77.03625,YES,NO,,,NO,7,12,396856.8086,140113.2886,
187307598,387,16th & R St NW,31282,38.912652,-77.036278,YES,NO,,,NO,11,7,396853.6643,138310.4017,
187307599,388,Lyttonsville Rd & Lyttonsville Pl,32054,38.999679,-77.051168,YES,NO,,,NO,7,8,395567.6923,147971.816,
187307600,389,Woodmont Ave & Strathmore St,32055,38.979875,-77.093522,YES,NO,,,NO,4,7,391896.6255,145776.2839,
187307601,390,14th & L St NW,31283,38.903658,-77.031737,YES,NO,,,NO,12,6,397247.1512,137311.8475,
187307602,391,1st & O St NW,31519,38.908643,-77.012365,YES,NO,,,NO,4,11,398927.5421,137864.8171,
187307603,392,South Capitol & Atlantic St SW,31811,38.831516,-77.008133,YES,NO,,,NO,16,3,399293.8349,129303.1048,
187307604,393,18th & C St NW,31284,38.893511,-77.041544,YES,NO,,,NO,11,6,396395.9852,136185.791,
187307605,394,22nd & P ST NW,31285,38.909394,-77.048728,YES,NO,,,NO,10,9,395773.7018,137949.2396,
187307606,395,East West Hwy & 16th St,32056,38.995681,-77.038721,YES,NO,,,NO,6,13,396645.6961,147527.4668,
187307607,396,Royal & Wilkes St,31903,38.799267,-77.0447,YES,NO,,,NO,6,9,396117.074,125724.1768,
187307608,397,14th & Girard St NW,31123,38.925284,-77.032375,YES,NO,,,NO,8,15,397192.6628,139712.5324,
187307609,398,Potomac Ave & Main Line Blvd,31910,38.822738,-77.049265,YES,NO,,,NO,11,8,395721.9352,128329.8113,
187307610,399,11th & O St NW,31286,38.90843,-77.02714,YES,NO,,,NO,12,7,397646.0498,137841.4497,
187307611,400,10th St & L'Enfant Plaza SW,31287,38.884377,-77.025791,YES,NO,,,NO,8,15,397762.299,135171.3418,
187307612,401,Connecticut Ave & Yuma St NW,31318,38.947156,-77.065115,YES,NO,,,NO,11,8,394355.4076,142142.0313,
187307613,402,2nd St & Massachusetts Ave NE,31641,38.894972,-77.003135,YES,NO,,,NO,4,19,399728.0388,136347.1581,
187307614,403,Radford & Osage St,31908,38.828437,-77.086031,YES,NO,,,NO,10,13,392529.8532,128964.8036,
187307615,404,East Falls Church Metro/Sycamore St & 19th St N,31904,38.884859,-77.155988,YES,NO,,,NO,10,9,386466.1326,135236.0943,
187307616,405,Kennebec St & 11th St N,31905,38.880992,-77.135271,YES,NO,,,NO,6,9,388262.9483,134803.9606,
187307617,406,Commonwealth Ave & Oak St,31906,38.812711,-77.061715,YES,NO,,,NO,8,11,394640.0521,127217.4066,
187307618,407,Commonwealth & E Monroe Ave,31913,38.820058,-77.062821,YES,NO,,,NO,7,8,394544.5573,128033.0364,
187307619,408,4th St & Madison Dr NW,31288,38.890493,-77.017253,YES,NO,,,NO,9,9,398503.2087,135850.0906,
187307620,409,Henry Bacon Dr & Lincoln Memorial Circle NW,31289,38.890544,-77.049379,YES,NO,,,NO,12,6,395716.1071,135856.7692,
187307621,410,17th St & Independence Ave SW,31290,38.888097,-77.038325,YES,NO,,,NO,8,10,396674.9868,135584.6724,
187307622,411,Franklin & S Washington St,31907,38.798133,-77.0487,YES,NO,,,NO,15,4,395769.5415,125598.4735,
187307623,412,Mount Vernon Ave & Four Mile Run Park,31909,38.843422,-77.064016,YES,NO,,,NO,5,10,394442.601,130626.6693,
187307624,413,New Jersey Ave & L St NW,31642,38.903598,-77.01397,YES,NO,,,NO,15,8,398788.2493,137304.8012,
187307625,414,Mount Vernon Ave & Bruce St,31912,38.841291,-77.063093,YES,NO,,,NO,6,9,394522.5655,130390.0578,
187307626,415,Lee Center,31914,38.797557,-77.053766,YES,NO,,,NO,10,5,395329.432,125534.781,
187307627,416,Powhatan St & Bashford Ln,31915,38.818748,-77.047783,YES,NO,,,NO,11,4,395850.397,127886.8268,
187307628,417,Potomac & Swann Ave,31916,38.829545,-77.047844,YES,NO,,,NO,16,2,395845.7278,129085.3677,
187307629,418,14th & Irving St NW,31124,38.928552,-77.032224,YES,NO,,,NO,9,22,397205.8846,140075.3037,
187307630,419,16th & K St NW,31291,38.90268,-77.035737,YES,NO,,,NO,16,7,396900.151,137203.4098,
187307631,420,Wisconsin Ave & Brandywine St NW,31319,38.949813,-77.080217,YES,NO,,,NO,9,16,393046.5273,142438.0242,
187307632,421,24th & R St NE / National Arboretum,31520,38.91263,-76.971923,YES,NO,,,NO,11,8,402435.0762,138307.7088,
187307633,422,Division Ave & Foote St NE,31713,38.897407,-76.925907,YES,NO,,,NO,7,8,406427.3461,136620.0661,
187307634,423,16th & Q St SE / Anacostia HS,31812,38.870695,-76.982359,YES,NO,,,NO,10,13,401530.8771,133652.3679,
187307635,424,Spring Hill Metro,32200,38.929261,-77.240654,YES,NO,,,NO,8,7,379133.3291,140181.02,
187307636,425,Westpark Dr & Leesburg Pike,32201,38.92403,-77.235955,YES,NO,,,NO,4,7,379539.269,139599.2725,
187307637,427,Tysons One Pl & Chain Bridge Rd,32203,38.919475,-77.221179,YES,NO,,,NO,7,4,380819.3354,139090.4224,
187307638,428,Tysons Corner Station,32204,38.920939,-77.222115,YES,NO,,,NO,3,8,380738.561,139253.1354,
187307639,429,Westpark & Jones Branch Dr,32205,38.924437,-77.217664,YES,NO,,,NO,5,6,381125.4694,139640.5122,
187307640,430,Jones Branch & Westbranch Dr,32206,38.931911,-77.219261,YES,NO,,,NO,5,8,380988.98,140470.5194,
187307641,431,Westpark & Park Run Dr,32207,38.928919,-77.225394,YES,NO,,,NO,7,4,380456.3994,140139.6776,
187307642,432,Tysons West Transit Center,32208,38.932636,-77.231825,YES,NO,,,NO,5,6,379899.8254,140553.6918,
187307643,433,North Shore & Cameron Crescent Dr/Crescent Apartments,32209,38.970046,-77.338686,YES,NO,,,NO,4,7,370649.9832,144735.4649,
187307644,434,Town Center Pkwy & Bowman Towne Dr,32210,38.962524,-77.361902,YES,NO,,,NO,9,6,368634.8196,143908.1787,
187307645,435,Reston Regional Library,32211,38.962095,-77.358815,YES,NO,,,NO,10,5,368902.1739,143859.4999,
187307646,436,New Dominion Pkwy & Fountain Dr,32212,38.960574,-77.356324,YES,NO,,,NO,9,6,369117.4041,143689.8105,
187307647,437,Sunset Hills & Old Reston Ave,32213,38.955079,-77.351649,YES,NO,,,NO,8,7,369520.2345,143078.2481,
187307648,438,Reston Town Center Transit Station,32214,38.957037,-77.359718,YES,NO,,,NO,8,9,368821.7005,143298.3275,
187307649,439,1st & D St SE,31643,38.884916,-77.005965,YES,NO,,,NO,10,9,399482.4634,135230.8757,
187307650,440,Reston Station,32215,38.948363,-77.338119,YES,NO,,,NO,12,23,370690.2031,142328.2857,
187307651,441,Library St & Freedom Dr,32216,38.959633,-77.358741,YES,NO,,,NO,11,8,368907.5133,143586.172,
187307652,442,Sunset Hills Rd & Discovery Square,32217,38.95534,-77.357611,YES,NO,,,NO,6,9,369003.5843,143109.2288,
187307653,443,22nd St & Constitution Ave NW,31292,38.892441,-77.048947,YES,NO,,,NO,3,20,395753.6983,136067.3308,
187307654,444,61st St & Banks Pl NE,31714,38.891805,-76.913563,YES,NO,,,NO,6,11,407498.7397,135999.1416,
187307655,445,Temporary Rd & Old Reston Ave,32218,38.960084,-77.353414,YES,NO,,,NO,7,8,369369.4019,143634.4359,
187307656,446,Reston YMCA,32219,38.955314,-77.368416,YES,NO,,,NO,10,5,368067.0397,143110.0668,
187307657,447,Sunset Hills Rd & Isaac Newton Square,32220,38.951443,-77.340377,YES,NO,,,NO,5,6,370495.7444,142670.9186,
187307658,448,N Lynn St & Fairfax Dr,31917,38.89386,-77.070862,YES,NO,,,NO,9,5,393852.6278,136226.0986,
187307659,449,Georgia Ave & Piney Branch Rd NW,31414,38.967505,-77.027976,YES,NO,,,NO,3,12,397575.5502,144399.3161,
187307660,450,Greensboro & International Dr,32221,38.923083,-77.227417,YES,NO,,,NO,4,7,380279.3743,139492.2688,
187307661,451,Madison & Fairfax St,31918,38.812351,-77.040691,YES,NO,,,NO,7,8,396465.9686,127176.4201,
187307662,452,Sligo Ave & Carroll Ln,32058,38.990874,-77.016311,YES,NO,,,NO,6,9,398586.9233,146993.2565,
187307663,453,15th & W St NW,31125,38.919086,-77.034502,YES,NO,,,NO,11,7,397007.964,139024.5695,
187307664,454,12th St & Pennsylvania Ave SE,31644,38.882489,-76.990121,YES,NO,,,NO,12,6,400857.153,134961.4895,
187307665,455,3rd St & Riggs Rd NE,31412,38.957463,-77.002239,YES,NO,,,NO,8,7,399805.9369,143284.1914,
187307666,456,Carlin Springs Rd & N Thomas St,31919,38.876695,-77.112982,YES,NO,,,NO,7,8,390196.3054,134324.3317,
187307667,457,Towers Crescent Dr & Tysons One Pl,32222,38.915246,-77.220157,YES,NO,,,NO,5,6,380906.8311,138620.7552,
187307668,458,6th & K St NE,31645,38.902877,-76.998405,YES,NO,,,NO,13,6,400138.3509,137224.6728,
187307669,459,Pooks Hill Rd & Linden Ave,32057,39.014716,-77.107143,YES,NO,,,NO,10,5,390720.9504,149645.2817,
187307670,460,Takoma Park Rec Center,32059,38.98265,-76.988311,YES,NO,,,NO,11,4,401012.7742,146080.2499,
187307671,461,New Hampshire & Kirklynn Ave,32061,38.988101,-76.988422,YES,NO,,,NO,9,6,401003.0801,146685.3633,
187307672,462,Wheaton Metro/Georgia Ave & Reedie Dr,32062,39.038341,-77.051023,YES,NO,,,NO,10,9,395582.6515,152263.7011,
187307673,463,Amherst Ave & Elkins St,32063,39.044887,-77.047788,YES,NO,,,NO,6,9,395863.104,152990.2285,
187307674,464,Amherst Ave & Prichard Rd,32064,39.035965,-77.048395,YES,NO,,,NO,8,7,395810.0324,151999.8149,
187307675,465,Grandview & Blueridge Ave,32065,39.043272,-77.053085,YES,NO,,,NO,6,8,395404.4508,152811.1988,
187307676,466,Windham Ln & Amherst Ave,32066,39.032029,-77.04735,YES,NO,,,NO,12,3,395900.2803,151562.8283,
187307677,467,North Shore Dr & Village Rd,32223,38.970412,-77.340787,YES,NO,,,NO,4,7,370468.0662,144776.7717,
187307678,468,Town Center Pkwy & Sunset Hills Rd,32224,38.955171,-77.363094,YES,NO,,,NO,8,3,368528.2658,143092.3444,
187307679,469,3rd & Underwood St NW,31413,38.968834,-77.016258,YES,NO,,,NO,8,11,398591.0791,144546.6017,
187307680,470,18th & Monroe St NE,31521,38.93293,-76.979517,YES,NO,,,NO,16,3,401775.9544,140561.0057,
187307681,471,7th & E St SW,31294,38.88345,-77.021741,YES,NO,,,NO,7,11,398113.6641,135068.3461,
187307682,472,Shady Grove Metro East,32067,39.121327,-77.164969,YES,NO,,,NO,4,15,385734.3593,161487.8106,
187307683,473,Potomac & M St NW,31295,38.905368,-77.065149,YES,NO,,,NO,3,16,394349.1497,137503.2092,
187307684,474,Columbia & Ontario Rd NW,31296,38.924088,-77.040787,YES,NO,,,NO,7,15,396463.1728,139580.0585,
187307685,475,Washington-Lee High School / N Stafford St & Generals Way,31920,38.888282,-77.111066,YES,NO,,,NO,8,7,390364.1257,135610.3726,
187307686,476,Westover Library / Washington Blvd & N McKinley Rd,31921,38.886048,-77.142317,YES,NO,,,NO,11,4,387652.4639,135366.1444,
187307687,477,Columbia Pike & S Taylor St,31923,38.858524,-77.103728,YES,NO,,,NO,7,8,390997.0028,132306.2646,
187307688,478,Columbus Ave & Tribeca St,32068,39.126,-77.1673,YES,NO,,,NO,3,8,385533.7378,162006.9418,
187307689,479,Columbus Ave & Gramercy Blvd,32069,39.12333,-77.16486,YES,NO,,,NO,7,4,385744.1866,161710.1528,
187307690,480,Reston Pkwy & Spectrum Dr,32225,38.964208,-77.35428,YES,NO,,,NO,5,10,369296.1222,144092.5258,
187307691,481,Key West Ave & Great Seneca Hwy,32070,39.105642,-77.20386,YES,NO,,,NO,4,7,382367.3894,159753.3694,
187307692,482,Virginia Ave & 25th St NW,31297,38.8995,-77.054155,YES,NO,,,NO,4,15,395302.3534,136851.1909,
187307693,483,15th & M St NW,31298,38.905424,-77.034674,YES,NO,,,NO,8,11,396992.472,137507.9804,
187307694,484,11th & Girard St NW,31126,38.925636,-77.027112,YES,NO,,,NO,4,15,397649.0456,139751.4587,
187307695,485,Connecticut Ave & R St NW,31299,38.912644,-77.04564,YES,NO,,,NO,18,1,396041.7119,138309.8779,
187307696,486,Wilson Blvd & N Troy St,31924,38.892556,-77.082089,YES,NO,,,NO,3,12,392878.5408,136082.1603,
187307697,487,Nebraska Ave/AU East Campus,31320,38.936298,-77.087128,YES,NO,,,NO,0,19,392446.0274,140938.2887,
187307698,488,15th St & Constitution Ave NW,31321,38.892244,-77.033234,YES,NO,,,NO,13,6,397116.841,136044.8487,
187307699,489,22nd & H St NW,31127,38.899104,-77.048946,YES,NO,,,NO,4,13,395754.1817,136806.9765,
187307700,490,23rd & M St NW,31128,38.905303,-77.050264,YES,NO,,,NO,1,16,395640.2307,137495.1775,
187307701,491,Corporate Blvd & Omega Dr,32071,39.106971,-77.192645,YES,NO,,,NO,8,7,383337.7263,159898.7985,
187307702,492,Key West Ave & Diamondback Dr,32072,39.106152,-77.202354,YES,NO,,,NO,7,4,382497.7742,159809.696,
187307703,493,Alabama Ave & Stanton Rd SE / Shops at Park Village,31813,38.84627,-76.98185,YES,NO,,,NO,6,13,401575.587,130941.0252,
187307704,494,Mississippi Ave & 19th St SE / THEARC,31814,38.84377,-76.97557,YES,NO,,,NO,12,7,402120.823,130663.635,
187307705,495,19th & Savannah St SE,31815,38.84623,-76.97703,YES,NO,,,NO,3,8,401994.0084,130936.6792,
187307706,496,4th St & Mississippi Ave SE,31816,38.836,-77.0009,YES,NO,,,NO,8,11,399921.8605,129800.8281,
187307707,497,1st & S Capitol St SE / Oxon Run Trail,31817,38.824481,-77.005497,YES,NO,,,NO,13,6,399522.6642,128522.1558,
187307708,498,Livingston Rd & 3rd St SE,31818,38.82373,-77.00223,YES,NO,,,NO,9,5,399806.3544,128438.7778,
187307709,499,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,31819,38.81909,-77.01033,YES,NO,,,NO,9,10,399102.9195,127923.7558,
187307710,500,37th & Ely Pl SE / Fort Dupont Ice Arena,31715,38.883011,-76.949709,YES,NO,,,NO,8,7,404363.4744,135020.5911,
187307711,501,15th St & Pennsylvania Ave NW/Pershing Park,31129,38.89635,-77.03338,YES,NO,,,NO,9,9,397104.3417,136500.6518,
187307712,505,Maine Ave & 9th St SW,31646,38.88044,-77.025236,YES,NO,,,NO,7,7,397810.3316,134734.2911,
187307713,506,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,31523,38.915,-77.0078,YES,NO,,,NO,12,6,399323.5401,138570.4529,
187307714,507,Blueridge Ave & Elkins St,32073,39.04313,-77.05006,YES,NO,,,NO,8,7,395666.3153,152795.2872,
187307715,508,Georgia Ave & Kennedy St NW,31415,38.95674,-77.02791,YES,NO,,,NO,7,12,397580.9045,143204.2991,
187307716,509,7th St & Massachusetts Ave NE,31647,38.89222,-76.99602,YES,NO,,,NO,15,4,400345.2782,136041.6672,
187307717,1,Eads St & 15th St S,31000,38.858971,-77.05323,YES,NO,,,NO,13,1,395379.9686,132352.1169,
187307718,2,18th & Eads St.,31001,38.85725,-77.05332,YES,NO,,,NO,6,4,395372.0456,132161.0781,
187307719,3,20th & Crystal Dr,31002,38.856425,-77.049232,YES,NO,,,NO,6,11,395726.8176,132069.2979,
187307720,4,15th & Crystal Dr,31003,38.86017,-77.049593,YES,NO,,,NO,6,5,395695.7098,132485.0368,
187307721,5,Aurora Hills Community Ctr/18th & Hayes St,31004,38.857866,-77.05949,YES,NO,,,NO,10,1,394836.5599,132229.7894,
187307722,6,Pentagon City Metro / 12th & S Hayes St,31005,38.862303,-77.059936,YES,NO,,,NO,2,17,394798.1726,132722.3538,
187307723,7,S Joyce & Army Navy Dr,31006,38.8637,-77.0633,YES,NO,,,NO,14,1,394506.3197,132877.628,
187307724,8,Crystal City Metro / 18th & Bell St,31007,38.857405,-77.051132,YES,NO,,,NO,15,3,395561.9645,132178.1755,
187307725,9,12th & Army Navy Dr,31008,38.8629,-77.0528,YES,NO,,,NO,7,4,395417.5422,132788.2427,
187307726,10,27th & Crystal Dr,31009,38.848441,-77.051516,YES,NO,,,NO,5,14,395528.0734,131183.1266,
187307727,11,S Glebe & Potomac Ave,31010,38.8426,-77.0502,YES,NO,,,NO,9,2,395641.9543,130534.6713,
187307728,12,23rd & Crystal Dr,31011,38.8533,-77.0498,YES,NO,,,NO,7,10,395677.3277,131722.4273,
187307729,13,26th & S Clark St,31012,38.850688,-77.05152,YES,NO,,,NO,2,8,395527.867,131432.5597,
187307730,14,19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,YES,NO,,,NO,5,10,396278.704,136939.4783,
187307731,15,14th & V St NW,31101,38.9176,-77.0321,YES,NO,,,NO,14,13,397216.209,138859.5351,
187307732,16,11th & Kenyon St NW,31102,38.929464,-77.027822,YES,NO,,,NO,6,19,397587.6091,140176.4181,
187307733,17,16th & Harvard St NW,31103,38.926088,-77.036536,YES,NO,,,NO,14,19,396831.8853,139801.9194,
187307734,18,Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581,YES,NO,,,NO,12,3,396307.5467,139451.0267,
187307735,19,14th & Harvard St NW,31105,38.9268,-77.0322,YES,NO,,,NO,7,11,397207.897,139880.816,
187307736,20,Calvert & Biltmore St NW,31106,38.923203,-77.047637,YES,NO,,,NO,4,19,395869.1268,139482.1037,
187307737,21,Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,YES,NO,,,NO,5,14,396635.8432,140447.1824,
187307738,22,4th & M St SW,31108,38.8767,-77.0178,YES,NO,,,NO,18,5,398455.4549,134318.9706,
187307739,23,15th & P St NW,31201,38.90985,-77.034438,YES,NO,,,NO,16,1,397013.1273,137999.2948,
187307740,24,14th & R St NW,31202,38.912939,-77.032085,YES,NO,,,NO,11,8,397217.328,138342.1249,
187307741,25,14th & Rhode Island Ave NW,31203,38.9086,-77.0323,YES,NO,,,NO,17,6,397198.511,137860.4668,
187307742,26,20th & E St NW,31204,38.8963,-77.045,YES,NO,,,NO,6,6,396096.3238,136495.5341,
187307743,27,21st & I St NW,31205,38.9008,-77.047,YES,NO,,,NO,8,27,395923.0843,136995.1574,
187307744,28,Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649,YES,NO,,,NO,8,7,397862.9308,140906.6651,
187307745,29,14th St & Spring Rd NW,31401,38.9375,-77.0328,YES,NO,,,NO,3,16,397156.297,141068.6272,
187307746,30,John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,YES,NO,,,NO,7,4,400390.1581,140746.2006,
187307747,31,5th & K St NW,31600,38.90304,-77.019027,YES,NO,,,NO,4,14,398349.5948,137242.9379,
187307748,32,19th & East Capitol St SE,31601,38.8896,-76.9769,YES,NO,,,NO,10,4,402004.0754,135751.0727,
187307749,33,Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,YES,NO,,,NO,3,16,397268.7481,140324.8292,
187307750,34,Good Hope & Naylor Rd SE,31700,38.8601,-76.9672,YES,NO,,,NO,5,6,402846.7901,132476.6085,
187307751,35,Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,YES,NO,,,NO,7,4,394973.0937,140710.8214,
187307752,36,Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,YES,NO,,,NO,6,5,403410.0851,134463.8639,
187307753,37,Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,YES,NO,,,NO,7,8,404558.9245,136580.5833,
187307754,38,Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,YES,NO,,,NO,6,5,405041.7154,137060.6526,
187307755,39,Anacostia Metro,31801,38.862669,-76.994637,YES,NO,,,NO,5,5,400465.4508,132761.2885,
187307756,40,Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,YES,NO,,,NO,3,7,401038.0179,133283.5213,
187307757,41,19th & E Street NW,31206,38.8952,-77.0436,YES,NO,,,NO,5,5,396217.7132,136373.3665,
187307758,42,4th & W St NE,31500,38.919077,-77.000648,YES,NO,,,NO,14,1,399943.805,139023.0053,
187307759,43,10th & U St NW,31111,38.9172,-77.0259,YES,NO,,,NO,13,1,397753.8756,138814.961,
187307760,44,Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,YES,NO,,,NO,7,4,398074.9584,139669.6414,
187307761,45,1st & N St  SE,31209,38.8743,-77.0057,YES,NO,,,NO,19,20,399505.3818,134052.4174,
187307762,46,20th St & Florida Ave NW,31110,38.9154,-77.0446,YES,NO,,,NO,10,3,396132.059,138615.7722,
187307763,47,7th & T St NW,31109,38.9155,-77.0222,YES,NO,,,NO,11,3,398074.7047,138626.1622,
187307764,48,Eads & 22nd St S,31013,38.854381,-77.053412,YES,NO,,,NO,10,5,395363.874,131842.6032,
187307765,49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,YES,NO,,,NO,13,3,399678.9411,134274.4235,
187307766,51,Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,YES,NO,,,NO,7,36,396149.1179,138027.4199,
187307767,52,1st & M St NE,31603,38.9057,-77.0056,YES,NO,,,NO,9,4,399514.2732,137538.0624,
187307768,53,21st & M St NW,31212,38.90534,-77.046774,YES,NO,,,NO,14,5,395942.9464,137499.1239,
187307769,54,17th & K St NW,31213,38.90276,-77.03863,YES,NO,,,NO,7,16,396649.2143,137212.3926,
187307770,55,3rd & H St NW,31604,38.899408,-77.015289,YES,NO,,,NO,5,10,398673.7621,136839.6958,
187307771,56,3rd & D St SE,31605,38.8851,-77.0023,YES,NO,,,NO,3,8,399800.4474,135251.2867,
187307772,57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,YES,NO,,,NO,12,3,401197.3959,134718.5379,
187307773,58,14th & D St SE,31607,38.884,-76.9861,YES,NO,,,NO,5,10,401206.0102,135129.2676,
187307774,59,17th & Corcoran St NW,31214,38.9121,-77.0387,YES,NO,,,NO,11,7,396643.582,138249.2114,
187307775,60,Van Ness Metro / UDC,31300,38.944551,-77.063896,YES,NO,,,NO,6,9,394460.876,141852.7783,
187307776,61,Florida Ave & R St NW,31503,38.9126,-77.0135,YES,NO,,,NO,1,12,398829.1647,138304.0906,
187308097,62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,YES,NO,,,NO,7,4,400407.815,134596.3495,
187308098,63,Ward Circle / American University,31301,38.938736,-77.087171,YES,NO,,,NO,9,5,392442.5578,141208.9315,
187308099,64,Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,YES,NO,,,NO,8,11,393692.0368,140779.8981,
187308100,65,14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,YES,NO,,,NO,6,5,397155.1464,142209.1331,
187308101,66,Anacostia Library,31804,38.865784,-76.9784,YES,NO,,,NO,4,6,401874.5662,133107.2844,
187308102,67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,YES,NO,,,NO,2,9,402515.2205,133914.8189,
187308103,68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,YES,NO,,,NO,12,3,400277.1106,135456.8754,
187308104,69,14th St & New York Ave NW,31216,38.899632,-77.031686,YES,NO,,,NO,14,8,397251.4198,136864.9275,
187308105,70,Benning Branch Library,31705,38.894,-76.947974,YES,NO,,,NO,8,3,404513.3156,136240.5398,
187308106,71,USDA / 12th & Independence Ave SW,31217,38.887237,-77.028226,YES,NO,,,NO,20,19,397551.1296,135488.8864,
187308107,72,Georgetown Harbor / 30th St NW,31215,38.902221,-77.059219,YES,NO,,,NO,7,12,394863.2754,137153.5164,
187308108,73,12th & Newton St NE,31501,38.933668,-76.991016,YES,NO,,,NO,4,7,400778.9391,140642.7692,
187308109,74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,YES,NO,,,NO,3,12,395958.5759,136342.3012,
187308110,75,L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,YES,NO,,,NO,9,6,398070.3583,135380.9543,
187308111,76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,YES,NO,,,NO,18,12,397743.3113,136131.6756,
187308112,77,Kennedy Center,31211,38.897293,-77.05557,YES,NO,,,NO,8,10,395179.4608,136606.2701,
