OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
187308227,198,24th & N St NW,31255,38.9066,-77.05152,YES,NO,,,NO,8,7,395531.3698,137639.2158,
187308228,199,10th & E St NW,31256,38.895914,-77.026064,YES,NO,,,NO,13,2,397738.9784,136452.0457,
187308229,200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,YES,NO,,,NO,4,11,395757.3234,137004.1251,
187308230,201,Utah St & 11th St N,31049,38.883669,-77.113905,YES,NO,,,NO,4,7,390117.1807,135098.5978,
187308231,202,Barton St & 10th St N,31050,38.884961,-77.08777,YES,NO,,,NO,8,3,392384.8871,135239.515,
187308232,203,Arlington Blvd & N Queen St,31051,38.889365,-77.077294,YES,NO,,,NO,8,3,393294.2209,135727.5712,
187308233,204,Lincoln Memorial,31258,38.888251,-77.049426,YES,NO,,,NO,10,15,395711.8918,135602.2305,
187308234,206,20th St & Virginia Ave NW,31259,38.894722,-77.045128,YES,NO,,,NO,10,5,396085.1334,136320.3691,
187308235,207,5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,YES,NO,,,NO,0,19,398379.906,137008.7047,
187308236,208,39th & Veazey St NW,31308,38.943837,-77.077078,YES,NO,,,NO,11,4,393318.066,141774.4003,
187308237,209,Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426,YES,NO,,,NO,6,9,392855.5451,142993.1291,
187308238,210,3rd & M St NE,31627,38.90547,-77.00213,YES,NO,,,NO,8,15,399815.2497,137512.5178,
187308239,211,Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319,YES,NO,,,NO,8,7,393029.288,132893.5539,
187308240,212,Walter Reed Community Center / Walter Reed Dr & 16th St S,31054,38.857803,-77.086733,YES,NO,,,NO,7,4,392471.9951,132224.6897,
187308241,213,28th St S & S Meade St,31055,38.846222,-77.069275,YES,NO,,,NO,9,5,393986.2891,130937.822,
187308242,214,18th St & Wyoming Ave NW,31114,38.918809,-77.041571,YES,NO,,,NO,7,14,396394.9217,138994.0757,
187308243,215,5th & Kennedy St NW,31403,38.956556,-77.019814,YES,NO,,,NO,4,11,398282.6198,143183.69,
187308244,216,Georgia Ave & Emerson St NW,31405,38.949662,-77.027333,YES,NO,,,NO,12,7,397630.6806,142418.5615,
187308245,217,14th & Upshur St NW,31406,38.942016,-77.032652,YES,NO,,,NO,6,13,397169.3077,141569.9385,
187308246,218,14th St & Colorado Ave NW,31407,38.956432,-77.032947,YES,NO,,,NO,6,13,397144.3109,143170.2538,
187308247,219,S Troy St & 26th St S,31056,38.847977,-77.075104,YES,NO,,,NO,7,4,393480.4384,131133.0394,
187308248,220,S Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931,YES,NO,,,NO,6,5,392540.2043,130736.7966,
187308249,221,S Oakland St & Columbia Pike,31058,38.860789,-77.09586,YES,NO,,,NO,3,8,391680.164,132556.9494,
187308250,222,S Four Mile Run & Walter Reed Dr,31059,38.84736,-77.095431,YES,NO,,,NO,2,9,391715.8392,131066.1963,
187308251,223,S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555,YES,NO,,,NO,12,3,392225.3731,130506.2046,
187308252,224,S Kenmore & 24th St S,31061,38.848454,-77.084918,YES,NO,,,NO,5,6,392628.5629,131186.7364,
187308253,225,13th St & Eastern Ave,32006,38.987,-77.029417,YES,NO,,,NO,7,8,397451.3679,146563.4885,
187308254,226,Wisconsin Ave & O St NW,31312,38.90849,-77.063586,YES,NO,,,NO,15,4,394484.9615,137849.681,
187308255,227,S George Mason Dr & 13th St S,31062,38.856511,-77.100248,YES,NO,,,NO,4,7,391298.8014,132082.4698,
187308256,228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,YES,NO,,,NO,9,14,393936.4269,143014.8728,
187308257,229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,YES,NO,,,NO,8,11,396672.972,137809.8284,
187308258,230,15th & Euclid St  NW,31117,38.92333,-77.0352,YES,NO,,,NO,6,7,396947.6146,139495.7125,
187308259,231,8th & East Capitol St NE,31629,38.889988,-76.995193,YES,NO,,,NO,3,7,400417.0363,135793.9012,
187308260,232,New Jersey Ave & R St NW,31509,38.912659,-77.017669,YES,NO,,,NO,8,7,398467.5947,138310.7019,
187308261,233,15th & East Capitol St NE,31630,38.889908,-76.983326,YES,NO,,,NO,3,8,401446.5718,135785.1417,
187308262,234,8th & F St NE,31631,38.897274,-76.994749,YES,NO,,,NO,8,6,400455.5094,136602.7068,
187308263,235,18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,YES,NO,,,NO,7,8,401827.5193,139913.282,
187308264,236,15th & F St NE,31632,38.897195,-76.983575,YES,NO,,,NO,11,8,401424.824,136594.0523,
187308265,237,12th & Irving St NE,31511,38.928644,-76.990955,YES,NO,,,NO,8,6,400784.2832,140085.0622,
187308266,239,Alabama & MLK Ave SE,31800,38.843591,-76.999435,YES,NO,,,NO,3,8,400049.049,130643.4811,
187308267,240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,YES,NO,,,NO,6,5,400864.6665,132897.639,
187308268,241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,YES,NO,,,NO,12,2,401109.3092,137319.6612,
187308269,242,12th & U St NW,31268,38.916787,-77.028139,YES,NO,,,NO,12,19,397559.6888,138769.172,
187308270,243,S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022,YES,NO,,,NO,6,4,390883.8896,131609.7125,
187308271,244,S Stafford & 34th St S,31064,38.834108,-77.087323,YES,NO,,,NO,5,6,392418.2699,129594.429,
187308272,245,N Pershing Dr & Wayne St,31065,38.880705,-77.08596,YES,NO,,,NO,6,4,392541.4816,134766.9171,
187308273,246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,YES,NO,,,NO,2,9,393724.2392,133273.6172,
187308274,247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,YES,NO,,,NO,7,8,399830.3857,135504.1617,
187308275,248,8th & D St NW,31270,38.894851,-77.02324,YES,NO,,,NO,12,2,397983.9271,136333.9781,
187308276,249,3rd & Elm St NW,31118,38.917622,-77.01597,YES,NO,,,NO,8,6,398615.0427,138861.609,
187308277,250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,YES,NO,,,NO,7,12,399588.4184,138920.666,
187308278,251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,YES,NO,,,NO,13,13,398792.6549,136047.8572,
187308279,252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,YES,NO,,,NO,23,8,398805.4057,135459.8469,
187308280,253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,YES,NO,,,NO,11,4,397764.9071,135497.1487,
187308281,254,Hamlin & 7th St NE,31514,38.927497,-76.997194,YES,NO,,,NO,7,8,400243.3095,139957.7003,
187308282,255,Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,YES,NO,,,NO,5,6,392484.1179,132743.6373,
187308283,256,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,38.856319,-77.11153,YES,NO,,,NO,10,5,390319.5351,132062.2923,
187308284,257,Pershing & N George Mason Dr,31069,38.871822,-77.107906,YES,NO,,,NO,7,4,390636.1213,133782.8596,
187308285,258,Fenton St & New York Ave,32001,38.985404,-77.023082,YES,NO,,,NO,1,14,398000.1753,146386.1589,
187308286,259,Bethesda Ave & Arlington Rd,32002,38.981103,-77.097426,YES,NO,,,NO,4,15,391558.5023,145912.9575,
187308287,260,Montgomery Ave & Waverly St,32003,38.983838,-77.09221,YES,NO,,,NO,4,7,392010.7503,146216.0997,
187308288,261,Fallsgrove Blvd & Fallsgrove Dr,32004,39.096312,-77.192672,YES,NO,,,NO,11,8,383332.8936,158715.5216,
187308289,262,Traville Gateway Dr & Gudelsky Dr,32005,39.093783,-77.202501,YES,NO,,,NO,11,8,382482.0138,158436.6119,
